jail, holiday, vase, cherries, exchange, frogs, waves, girl, cent, bomb, houses, garden, grain, mother, push, fire
0, -1190, ;, 37362683, 0, 0, 0, 1, 8513, thought, 0, -0.008293, -0.000000, 1, 0.000018, c9c0388f2719b927
1, -373, g, 43078, 1, 1, 1, 0, 27864, balloon, 0, -53.717621, -0.000000, 0, 0.004120, ec8f8c47749d
1, 0, /, 708151827618930, 0, 1, 1, 0, 56305, dolls, 98, -0.000003, 0.000002, 0, -0.731021, 267d89
1, -10093067, Y, 2078484, 1, 1, 1, 1, 0, plant, 5, -0.002691, -0.000000, 1, -0.000007, ffffffffffffffff
0, -6, j, 43311675, 0, 1, 0, 1, 170, writing, 17, -0.003510, -0.000001, 1, 0.000001, fffb08e85c278edb
1, -689698, h, 25087143214396188, 0, 1, 1, 0, 19, cats, 1, 0.000089, -0.018174, 0, 15.647649, fffffff1e75a1241
1, -201, 9, 809701291088574, 0, 1, 1, 1, 864, fruit, 11, -2.505606, -7.165478, 1, -0.000002, fffffffffffff300
1, 29788106, 9, 1889234758604293230, 1, 0, 1, 1, 1, partner, 0, -0.760300, 0.586959, 0, -0.009187, ff4703e70339b44e
1, 4294, X, 2868556, 0, 0, 1, 1, 3, doctor, 61, 205.016251, -0.000026, 1, 0.000002, 30490c4e9
0, -10642405, f, 45399017, 1, 1, 0, 1, 3, egg, 85, 0.000000, 0.000001, 1, -0.002585, 899ed4473b7b3c
1, 24, |, 139059, 1, 1, 0, 0, 10292, way, -49, -26.379532, -0.000012, 1, 3.919650, 1
1, 98, t, 317972, 1, 1, 1, 0, 68, manager, -2, -0.000072, -0.000152, 0, -0.000001, d3bd7ac9bea88
0, 0, k, 5673952954, 1, 0, 1, 1, 128, driving, 0, 0.000535, 0.000014, 0, 0.094899, ffd7b9686e3fba26
0, -59732688, ?, 195946, 0, 1, 1, 1, 20, wrench, 6, -0.000032, 15.999933, 0, 0.004633, 332
0, -95607462, 9, 133819262118396, 0, 0, 1, 1, 0, flowers, 21, 4.683591, -0.056279, 0, -0.415548, 2d54c
1, 76, _, 445557839605, 0, 1, 1, 0, 31, current, -2, -0.000000, 0.000303, 1, 0.863913, ffffffffffff9d77
0, 93788, {, 70040093705998, 0, 1, 0, 0, 59, , -38, 0.000284, 0.002734, 0, -9.798509, ffffffffffffffd4
1, -2523860, W, 34589438405225, 0, 1, 0, 1, 8604, whistle, -124, 0.000281, -0.838374, 0, -0.000038, 1c920b5289
1, -51388, <, 803211238939962003, 0, 1, 1, 1, 7, dog, 31, -62.218174, -10.502728, 0, -0.000013, fffffffffffffff8
1, 470, -, 63014440, 0, 1, 0, 1, 39777, dogs, -4, 0.014823, -0.000338, 1, 0.000015, fffffff57e465eb5
1, 92208, m, 512306668112045884, 1, 0, 1, 0, 2, current, -1, 0.005125, 0.000000, 0, 0.439126, ffffffd0edfd568d
1, 1596, _, 33623460485561111, 0, 1, 1, 0, 15489, receipt, 3, 56.333809, -0.000000, 1, -0.000000, 5b484
1, -56, |, 74469266797611444, 0, 0, 0, 0, 4, water, -1, -0.003738, -0.006888, 0, 0.000021, 65c0d751829
1, 2, 4, 677703588944300127, 1, 0, 0, 0, 0, error, -8, -32.253460, 0.000000, 0, -0.783619, ffffffffffdd46bb
1, -10, G, 19166247872, 1, 0, 1, 0, 3762, bee, 1, 0.000122, 0.000001, 1, -0.000025, ffff027bee8531f7
0, -2, k, 4, 1, 0, 0, 0, 18652, toys, -1, 1.913549, -0.000120, 0, -0.000216, ffffe816422533d7
1, 61561963, 8, 0, 1, 0, 1, 0, 481, respect, -1, 0.001880, 0.013832, 0, -0.000071, ffffffffffe558d1
1, 3548870, ], 2143035, 1, 1, 0, 0, 63, health, 14, 0.011276, -0.000007, 0, 0.085765, 7815d25e1
1, -1780, C, 7203812790010691, 1, 0, 0, 0, 2, , 0, 216.992508, -19.653063, 0, -0.400264, 5
1, 92208, m, 3293, 1, 0, 1, 0, 2, crush, -1, 0.005125, 0.000000, 0, 0.439126, ffffffd0edfd568d
1, -934408, h, 4063183143870653, 0, 1, 1, 1, 19, cats, 18, -0.000002, 0.000010, 0, -0.000097, fffffff1e75a1241
0, -3330214, $, 12768332425141531, 0, 0, 1, 1, 12, trouble, -56, -0.000176, 0.000103, 1, 0.000000, ffff7db0bc154730
0, 29788106, 9, 1889234758604293230, 1, 0, 1, 1, 1, partner, -26, -0.000001, 0.586959, 0, 61.199654, ff4703e70339b44e
0, 102930, f, 485910532834, 0, 0, 1, 0, 47, cracker, 0, 0.000000, 0.000048, 0, -72.755638, 388a6bb04ef
1, 82826440, u, 84, 1, 1, 0, 1, 135, card, -1, 0.000000, 0.002569, 1, 0.223734, fd822f0337bd4f61
0, -453390051, b, 5, 0, 0, 0, 1, 2616, need, -53, 0.000029, -0.003459, 1, -90.053379, 3d7e8
1, -12333, N, 104035506, 1, 0, 0, 0, 86, cloth, -23, 42.559315, -0.000000, 0, -0.000000, ffffffe7780ad90a
0, 20788893, e, 243406636, 0, 1, 1, 1, 56, rifle, -4, 0.000001, -0.214793, 0, -0.000000, ffd6a28aa6007fc2
1, -15352, q, 1513204917, 1, 0, 1, 0, 0, butter, -3, 236.572083, 0.021101, 0, 0.000795, 2c31a2f31bf2a
0, -569181814, D, 17282665802294, 0, 0, 0, 0, 6489, grass, -3, -0.010734, 29.745670, 0, -0.011198, fea0f765e80d7d61
0, 27, 4, 130500061938, 0, 0, 0, 1, 15866, pet, 3, 0.000001, -0.007063, 1, -0.000381, 9a369f38332efb8
0, 2856014, c, 414854555829543, 1, 0, 1, 0, 5, ladybug, 38, -12.189192, 0.000087, 1, 0.111581, f
0, 104610, i, 3866782489, 1, 0, 0, 0, 448, goat, 54, 0.040138, 0.000024, 0, -0.001624, fffffffffffeb8d2
1, -254, w, 4592619522101, 0, 1, 0, 1, 9717, women, -2, 10.923101, 1.000000, 0, -0.000000, 143b760c
0, -85889944, ~, 2020, 0, 1, 0, 1, 12, actor, 16, -10.674026, 0.000000, 0, 0.000001, 619a24f1e0c0af5
0, -249177, 2, 140092835203908, 0, 1, 0, 0, 317, burn, -3, 0.000000, -0.000100, 0, 0.000612, ff9c57ad94ce48e4
0, -1, -, 77350189660980829, 1, 0, 0, 1, 4, fact, 41, 0.000000, -0.000000, 1, 0.099548, fffffffffff989c1
0, 23, t, 3851913276, 1, 0, 0, 0, 0, hydrant, 2, 119.994316, 0.000018, 1, -0.002810, ffffffffffae594e
1, -161283, d, 9, 0, 0, 1, 1, 5654, year, -30, -0.000000, 0.038516, 1, 0.070480, 4d8b438040406b3
1, -11472, ^, 9879814940, 1, 1, 0, 1, 2897, space, -2, -0.000102, 0.000031, 1, -0.169407, fffffffc53cbbe75
0, 3233178, #, 11254255457739, 0, 0, 1, 1, 2292, screw, 27, -0.000000, -1.562034, 1, -0.000113, 2f38
1, -397846, W, 37012671295512, 0, 0, 1, 0, 278, star, -1, 4.595221, -22.411474, 0, 0.000000, fffffffffffffcfc
1, 5575749, v, 11793403226753457, 1, 0, 0, 0, 1, quiet, -53, 0.468193, -2.662655, 1, 4.560800, ffffffffff19f4f3
0, -17620158, :, 0, 1, 0, 0, 0, 588, leg, 1, -0.000000, 0.000619, 0, 42.275456, fffffffcaba759b2
1, 134130983, v, 1227304201, 0, 1, 1, 0, 7074, , 0, -0.209971, -0.000000, 0, 62.412403, 38f6ca22
1, -93552, ), 35549, 1, 0, 0, 1, 808, , 1, 0.000003, 0.000020, 1, 0.000000, ff79d3efb292ebbc
1, 26035668, [, 1, 0, 1, 1, 0, 55, history, -6, 0.004200, -0.000000, 0, -0.000000, 6
1, 46239155, i, 1476, 1, 0, 0, 1, 27318, stamp, -2, -0.000022, -6.895212, 1, 0.029395, fffffffffffeb8d2
1, 1898603, @, 68630515647762503, 1, 1, 1, 0, 45, battle, 5, 0.003065, 0.000000, 1, -0.000001, ff2892fbf94a03a2
1, -749300, }, 58148533795, 0, 0, 1, 1, 100, collar, 2, -0.000000, -0.048870, 0, -0.513427, ffff9f834856c91d
0, 682, m, 1694439012, 0, 0, 1, 1, 452, popcorn, 11, -81.441917, -0.000000, 0, 0.000028, ffffffffffffffe1
0, 5747, 2, 1555675604, 0, 1, 0, 0, 317, burn, -49, 0.000052, -0.000100, 0, 26.677914, ff9c57ad94ce48e4
0, 2114379003, I, 3361699143, 1, 1, 0, 1, 12, recess, 61, 66.262550, 12.579149, 1, -56.789888, ffffffffffffffd5
0, -1, ?, 70526061762873, 1, 0, 1, 0, 1956, faucet, -1, 0.003360, 0.001517, 0, 2.364768, 2bd
1, -21, b, 882318078716, 1, 1, 1, 0, 13554, cakes, 7, -2.468513, 0.000002, 1, -34.493317, 2756d74df668c
1, 1041966, d, 3876157086886189746, 0, 0, 0, 0, 464, berry, 3, 1.900005, -0.000017, 1, -0.000982, fffffffff23671b5
1, -234, o, 457560216271446, 1, 1, 0, 1, 257, cats, 111, -348.556030, -0.000107, 0, 0.000001, ffffffffffffff2f
0, -146272436, @, 9763, 1, 1, 0, 0, 16038, cloth, -21, 0.220850, -0.000010, 0, -0.000017, 3d26
1, 0, S, 580051, 0, 0, 1, 1, 0, pocket, -1, 0.000002, -0.000000, 1, -0.000000, fffffff5a40e02dd
0, -1, A, 28518821548, 0, 1, 1, 1, 0, pen, -2, 0.000001, 0.001292, 0, 0.000007, 1b
0, 487359, |, 207847411668, 1, 0, 0, 0, 6650, team, 56, 0.011348, 0.000093, 1, 122.115605, 247c54d076ad
1, 81, U, 213, 0, 1, 1, 1, 497, hot, 42, -198.905792, 8.303722, 1, 0.000042, fffffffffffc67df
0, -217, z, 728938050659388, 1, 0, 0, 1, 15, thunder, 6, 0.000000, 0.000011, 1, -1.667105, fffffdfb40e7da46
1, 2, p, 733982576946714096, 1, 0, 0, 1, 19, doll, 4, 0.032263, -22.437534, 1, 0.002731, f8ca50ba83f9b04e
1, -234, o, 457560216271446, 1, 1, 0, 1, 257, cats, 43, 66.622093, -0.000107, 0, 0.000004, ffffffffffffff2f
0, 14022, G, 15708, 0, 0, 0, 1, 4, writing, 3, 0.000007, -0.055052, 0, -0.112919, 3800a5cce285
1, -26, {, 26, 1, 0, 1, 1, 76, shape, -6, -0.021688, 0.000000, 0, 0.107181, 102aa855b6c
0, 206195, W, 57044369556, 1, 1, 1, 1, 120, silk, -5, -15.756754, 0.000007, 1, 18.405759, fffffffffb985ab5
0, 82826440, u, 889, 1, 1, 0, 1, 3, card, 3, 0.000000, -0.000004, 1, 0.001102, fd822f0337bd4f61
0, 692045, U, 20474, 1, 1, 0, 1, 6966, balloon, -2, -157.840286, -0.000011, 0, -12.508862, fff290049056df55
1, -254, w, 4592619522101, 0, 1, 0, 1, 9717, women, 12, 10.923101, 1.000000, 0, -0.000000, 143b760c
1, -4582978, i, 12294072, 0, 0, 0, 0, 7, art, -1, -0.000061, -0.000014, 1, 102.732323, 9
1, 225, Z, 1465, 0, 0, 1, 1, 7, goodbye, 0, 0.065669, -0.000064, 0, -0.000003, fffffffffffd8ca7
1, 1273690, 6, 6, 0, 1, 0, 0, 80, , 0, 0.000026, -4.976913, 0, 1.121865, 5
0, 104941, {, 238340382, 0, 0, 1, 0, 2477, class, -2, 0.000654, -29.959439, 1, 0.003290, ffffc4498392496c
1, 241258375, /, 14252967745268, 0, 1, 1, 0, 0, thing, 1, -0.000001, -0.111480, 1, -0.009820, 5efc4822c26066
1, -2973270, ~, 1082736103537823032, 0, 1, 0, 0, 54218, copy, -41, 0.047544, 0.000013, 1, 0.000000, b45edc23ba874cf3
0, -1436628681, e, 4203456225385599394, 1, 1, 0, 0, 1307, reward, -25, 0.000009, -0.893697, 0, -0.303455, 25e00521167377e6
1, 404, m, 25806155850410, 1, 0, 0, 0, 12, metal, -1, -0.092124, -24.947623, 0, 0.000025, 169fec3b000a
1, -1, V, 2019941920888883, 0, 1, 0, 0, 95, back, 1, -0.199098, -23.185036, 0, 0.000131, 511b8c
1, 385647482, Y, 10841280227767, 1, 1, 0, 0, 1293, school, 5, -0.000167, -0.000007, 0, 0.000005, ffffffff570fbbf1
1, 10989266, U, 2741099341287, 1, 0, 1, 1, 12595, sleet, 0, -167.234650, -0.118172, 0, 0.000013, 7c8a6bc7f1
0, -83, |, 326648999730, 0, 0, 0, 1, 2, science, 101, -0.001719, -0.000057, 0, 0.000090, ff83e7f90d3b5
1, -15832626, {, 1030744610825222911, 0, 1, 1, 0, 4788, tree, -1, -0.002354, -4.825723, 0, -0.001281, ffff7e759d0eaf60
0, 130170543, >, 1072583961164018, 1, 1, 0, 0, 3, hair, -2, -1.102986, -0.000505, 1, 0.000000, 2a8e26873dfa4b
0, -61, a, 235210070043133, 1, 0, 1, 0, 12805, floor, -1, -0.000007, -0.213899, 1, -0.000083, e
1, 22, m, 548547053123015043, 0, 0, 0, 0, 36, current, 3, 13.357768, -0.000135, 0, 1.417450, fffffffb807286c4
1, -231059452, -, 147509, 1, 1, 1, 1, 303, hook, 24, -18.485363, -0.000000, 0, 0.438273, bb8
1, -709351, 3, 2121937204, 0, 1, 0, 0, 3, leather, -8, 12.030821, 0.000001, 1, 1.200657, fffff38ed4e6469d
1, -2, O, 33462650354841419, 1, 0, 1, 0, 1318, action, 34, 0.001585, 0.000630, 0, 1.870960, 64369a6b3
0, 290, ?, 111837752443607, 1, 0, 1, 0, 11, , -1, -0.000677, 11.687996, 1, 0.089351, ffffffffffabc39f
1, 4793, 6, 73377558677422810, 1, 0, 1, 1, 1311, , 0, -14.950611, -0.198178, 0, 0.002013, fec4a49ff6691b0f
0, 15816215, C, 3022498585369090, 1, 0, 1, 1, 462, glue, 1, -0.394557, -0.000000, 0, 0.000026, ffe40db3b2e26286
0, 1398, &, 157514935028248598, 1, 0, 1, 0, 3, pancake, -8, -0.007180, -0.006290, 1, 33.652902, 1ef101b80d6ad
0, 4729977, ^, 31598905537151239, 0, 0, 1, 0, 103, fairies, 27, 0.223654, 0.000007, 0, -0.702826, 585b
0, -271482768, p, 45733468875, 1, 0, 0, 0, 10411, paper, -8, -14.670304, -0.000016, 1, -0.003816, fffff871960e64de
0, -1, A, 5611616828, 0, 1, 1, 0, 51, , 4, -0.000002, 0.000001, 0, 0.000003, ffffffff55f3f199
0, -90575, 6, 2670, 1, 1, 0, 0, 1663, chicken, 7, 0.000004, 0.000000, 1, -0.000000, fffffeb8dcf77ae9
1, 1800782, ], 100031770, 0, 0, 0, 1, 153, mass, 53, 0.918937, -0.012916, 0, -39.110992, fffffffffffffffe
1, -1, /, 40766035268, 0, 0, 1, 1, 32437, support, 7, 0.000003, 0.000052, 0, -0.000025, ffffffd0bc9c95b6
1, -472, K, 7581927959072533, 0, 1, 0, 0, 679, top, 0, -0.000000, -0.000001, 0, -0.001358, 195e4536f8ed2
0, -1, }, 361103449692, 0, 0, 0, 0, 18669, quiver, 0, -0.000001, 0.000345, 0, -0.000006, fffffffffcb0eb04
1, -271482768, p, 84701098129369358, 1, 0, 0, 0, 10411, paper, 22, 0.012469, -0.000011, 1, -0.000024, fffff871960e64de
1, 97116546, a, 63876978308074798, 0, 0, 1, 0, 63, scarf, 1, 0.000103, 0.000819, 0, 0.000294, 7446b2d06329a88a
1, 13312677, q, 831831444266, 1, 1, 0, 1, 23767, horses, 1, 0.000443, -28.670757, 0, 4.689462, 16732
1, -6165, J, 248847491, 0, 0, 1, 0, 365, suit, -100, -8.188246, -0.045944, 0, 0.000136, fffffffffff09718
1, 706822, _, 7716621181652896, 1, 0, 0, 1, 1293, weight, -2, 0.002651, 0.409982, 0, -0.000006, 5070eb20900b2d5
1, 27653, %, 69835959718, 1, 1, 0, 1, 21, chain, 44, -0.000000, -0.000003, 0, -0.000080, 38c1bb2973bcbd
1, -15832626, {, 449384895705667, 0, 1, 1, 1, 4788, tree, -1, -0.002354, -4.825723, 0, -0.001281, ffff7e759d0eaf60
1, 972790832, E, 527922763338111, 0, 1, 1, 1, 36, birth, -26, -1.987233, 2.089585, 1, 2.079189, 2be1
0, -310834, a, 1086232286033, 0, 1, 0, 0, 3421, smoke, 58, -0.006328, 0.002656, 1, 0.000162, fffff419d70e7366
1, -1522863, <, 17551613, 0, 1, 0, 0, 180, slope, 4, -0.000035, 0.012045, 1, 6.787378, fffffffffe86a279
0, 8048, h, 13697424020014, 1, 0, 0, 1, 15, books, -26, 0.000001, -0.000014, 1, 0.000000, ffffec91c5c7b764
1, -1441172186, Z, 70343446, 1, 1, 1, 0, 937, angle, 15, 29.846277, -0.000012, 0, 0.000000, 7d2f2d2c06
1, 1124657, Y, 8603282202, 0, 0, 0, 1, 898, map, -1, 0.025756, -0.000000, 0, -43.070035, d18bf7dc9e
0, 23, t, 121540, 1, 0, 0, 1, 0, hydrant, -1, 0.000002, 0.000018, 0, -33.747848, ffffffffffae594e
0, 14022, G, 15708, 0, 0, 0, 1, 4, writing, 3, 0.000000, -0.055052, 0, -0.112919, 3800a5cce285
0, -161546, I, 628936967, 1, 1, 0, 1, 6, idea, -4, -0.000076, 0.000149, 1, 0.007089, fc571646036add5a
1, 1207564, g, 17455829393, 0, 1, 0, 1, 1463, answer, 0, 0.000194, 1.134260, 1, -1.041500, a804d0b7
1, -19922281, ], 13433, 0, 1, 1, 0, 9396, , -16, 0.002639, -0.001646, 0, -0.000029, ee3de0095f0f3
1, 116182, #, 361524672102773635, 1, 1, 0, 0, 62, kittens, 1, -0.945886, 0.013452, 1, -0.000014, fe49b9f6321e60a1
1, -86823, !, 660341387, 1, 1, 1, 1, 89, road, 3, 0.911306, 0.000001, 0, -0.000149, fffff51f5f7cff98
1, -85433368, F, 446315804865209, 1, 0, 1, 1, 79, history, 25, -188.756622, 0.000049, 0, -0.059746, fff1f120132cc221
1, 73322, @, 54680586242320847, 1, 0, 0, 1, 28697, flag, 1, 0.000237, -0.000237, 0, 0.000000, 161
1, -2973270, ~, 5137812, 0, 1, 0, 1, 54218, copy, 0, 0.047544, 0.000013, 1, 0.000000, b45edc23ba874cf3
1, 2512, F, 1, 0, 0, 1, 1, 28129, women, 2, -0.000176, 0.000000, 1, -0.000032, 320920dd3
0, 1809, Q, 24779901457820, 0, 1, 0, 1, 1718, , -1, -0.147811, -0.000075, 1, -0.000304, fffffffffff3ac90
0, -139989703, 8, 25, 1, 0, 0, 0, 35, receipt, -2, 0.001915, -1.860242, 1, 0.008658, f39af9e3bb7b5f9c
0, -37906743, *, 306, 1, 0, 0, 0, 182, writing, -8, 0.012221, 0.000000, 1, 0.000000, 17
0, -57609361, t, 0, 1, 0, 1, 0, 7922, yak, -107, 0.000007, -0.224142, 1, -0.027848, fffff9266565256e
1, -431971421, %, 34468545150624324, 0, 1, 1, 0, 12, cap, 3, 0.004495, 0.021319, 1, -0.000000, 3142fc03d1
0, 11908, -, 17328577332720167, 0, 0, 0, 0, 1430, balloon, 12, -0.006168, -0.000000, 1, -41.245111, f9
0, 1809, Q, 1, 0, 1, 0, 0, 1718, , -1, -0.060033, 0.012662, 1, -124.251686, fffffffffff3ac90
0, -4935609, !, 30, 1, 0, 1, 0, 2297, milk, -74, 1.575155, 0.246057, 0, 0.000000, ef62fa9
0, -17879323, y, 13, 0, 1, 0, 1, 30, yam, 14, -1.469672, -8.759116, 0, 0.000146, 29f788
0, -1811, A, 1344332382929, 0, 0, 0, 0, 28, support, 24, -0.000016, 4.519937, 0, 0.000000, 3ac602677
1, 24, |, 443509144, 1, 1, 0, 0, 10292, way, -49, -285.759613, -0.000012, 1, 3.919650, 1
0, -9, E, 25245, 1, 0, 1, 0, 22, beds, -4, 0.000948, 0.000101, 1, -0.002428, fffffffffffffff7
0, -7061240, Z, 84, 1, 1, 0, 0, 4143, loss, -95, -0.000248, 0.000000, 0, 0.000000, 103a4
0, -4446, T, 615, 1, 1, 0, 1, 6, room, 27, -78.048927, 0.000007, 1, 7.012704, e9f4407457e846
1, 102584, C, 450, 1, 0, 1, 0, 462, glue, 6, 0.005646, -0.000000, 0, -0.000087, ffe40db3b2e26286
1, 6219, n, 23477918, 0, 0, 1, 0, 348, account, 14, -1.901945, -0.054902, 1, 0.000002, 49fc78c0e0
0, -66095657, H, 1889, 1, 0, 1, 0, 115, mitten, 0, 0.001467, -0.000000, 0, -2.122653, ffffffffffffff7b
1, 55456271, O, 194, 1, 1, 1, 0, 21, driving, -8, 26.810814, -0.000900, 1, 0.000002, af98c9
1, -4, c, 45369009708856518, 0, 1, 1, 1, 14, peace, 5, 60.213158, -0.000000, 0, 0.182781, 3370a604c9743a
1, 29758, $, 8675298885715585388, 1, 1, 1, 1, 15, milk, -4, -0.000024, 0.000242, 1, -0.000244, ffffffffffc340bd
0, -40683857, V, 2019941920888883, 0, 1, 0, 1, 394, camp, -1, 39.998638, 2.664690, 0, -0.000003, 511b8c
0, 20788893, e, 243406636, 0, 1, 1, 0, 17, rifle, -2, 3.143928, -0.214793, 0, 0.961291, ffd6a28aa6007fc2
0, -627569, d, 14903102077, 1, 1, 0, 0, 0, deer, 0, -272.086121, -0.000008, 1, -0.042813, 321d3014
0, 364, E, 554112128649133, 0, 1, 1, 0, 231, chin, 1, -0.000098, 0.000040, 1, -3.641406, ffcdf754673721b3
0, -311797, <, 3747876, 1, 1, 0, 0, 332, goat, -6, 0.176731, 0.000777, 0, -0.000003, ffffffffffffff29
1, 0, <, 576, 0, 1, 1, 1, 25459, skirt, 5, 0.000320, 0.000001, 0, -0.001841, b0f5cdf1a9d62
1, -170, $, 54, 1, 1, 1, 0, 15, milk, -9, 121.243141, 0.077013, 0, 0.219112, ffffffffffc340bd
0, 1, 4, 95, 0, 1, 0, 1, 0, haircut, 0, -0.000094, -0.001069, 1, -0.000054, 47a9d169b6df9b
0, -83, |, 14027409012, 0, 0, 0, 0, 2, science, -8, -0.177374, 0.001772, 0, -66.903836, ff83e7f90d3b5
1, -431, g, 448, 1, 0, 1, 0, 1, scene, 0, -0.360347, 0.018292, 1, 0.000000, 4fef
0, -108949, A, 875, 1, 0, 1, 1, 1, marble, 1, -0.000011, 0.726526, 0, -0.000001, ffffffffffffff90
0, -965231, 9, 31, 0, 1, 0, 0, 23, detail, 0, 2.588547, 3.598710, 1, -0.000034, 2
1, 14419, y, 337913196399, 1, 1, 0, 1, 0, alarm, -25, 1.928992, 0.044191, 1, 89.691994, fffffffffffffcc0
0, 38165, l, 4098, 1, 0, 0, 1, 24488, train, -2, 0.003098, -0.000116, 1, -0.157050, 359982895a7a8c3
1, 0, o, 13024696546040694, 0, 1, 0, 1, 1, collar, -1, 0.086142, 0.316268, 1, -0.000052, ffcf217eda2c6be6
1, -980864, 9, 58, 1, 0, 1, 0, 1, soap, 2, 113.574997, 0.000023, 1, -0.000002, fdc32760723b739f
1, 36765428, k, 3017816950748, 1, 1, 0, 1, 2, wood, 1, 0.000000, -0.186560, 1, -0.004938, fef5a7f0f0031015
0, -2, @, 68630515647762503, 1, 1, 1, 1, 45, battle, 16, -0.000001, -1.279690, 0, -0.000364, ff2892fbf94a03a2
1, -26868, =, 105177288776, 1, 1, 1, 0, 4486, bubble, 0, -0.000000, 2.218328, 0, -0.000002, 3de0d8c3f
0, -773, 2, 3463340, 1, 1, 1, 0, 3, uncle, 0, 0.000182, -0.000001, 0, -0.000000, 1d
0, -14445108, e, 161798421696998, 0, 1, 1, 1, 22738, theory, -2, 0.002210, 0.000004, 1, -0.000009, ffffffffffffae58
1, -196124, j, 7990830490923, 0, 1, 0, 0, 535, trip, 2, 41.213089, -0.004785, 1, -0.010300, 2
1, 6669, l, 33220629831604, 1, 0, 0, 0, 6235, respect, -1, 0.003218, -0.000008, 1, -0.010569, 359982895a7a8c3
1, 41694931, m, 4460123293, 0, 0, 1, 0, 10, rifle, 3, 0.000067, 0.000000, 1, 120.642417, ffffffffffffc02a
1, 3279, 5, 7973, 1, 1, 1, 1, 226, , -2, -0.002750, 0.348994, 0, -94.778491, 76afc59
0, 1, {, 8990, 0, 1, 0, 0, 59, account, -1, 0.000284, -6.234858, 1, -0.000193, ffffffffffffffd4
1, -447, /, 23927736326639088, 0, 1, 0, 0, 3638, cable, -7, 29.647493, 0.000887, 1, 0.000014, da
1, -3133, V, 15167121764890, 1, 1, 1, 0, 62, father, 7, 0.000000, -0.084899, 0, 8.410388, fffffeee482c0565
1, -1668, %, 9697449983763947641, 1, 1, 0, 0, 2596, heat, 54, 1.226874, -0.000000, 0, -0.064335, ffffff78ae8d0b0c
0, 527, I, 117749793, 0, 0, 1, 0, 1959, curtain, 1, -0.000001, 0.000047, 0, -6.244871, 1d
0, 127394, 7, 4305714265326902154, 0, 0, 1, 1, 344, goodbye, -3, -45.352745, -0.015410, 0, -0.134588, ffb27aec50900701
